ID,Species,Name,CC,Age,Lat,Long
988,Rudapithecus,RUD 200,234,9.85,48.37503889,20.62085
987,Rudapithecus,RUD 77,326,9.85,48.37503889,20.62085
986,Sahelanthropus,TM 266-01-060,365,7,16.25,17.5
985,Ar. ramidus,ARA-VP-6/500,300,4.4,10.5,40.5
984,A. anamensis,MRD-VP-1/1,367,3.8,11.5,40.75
983,A. afarensis,AL 162-28,393,3.2,11.16666667,40.63333333
982,A. afarensis,AL 333-45,488,3.2,11.16666667,40.63333333
981,A. afarensis,AL 288-1,388,3.18,11.16666667,40.63333333
980,A. afarensis,AL 822-1,382,3.1,11.16666667,40.63333333
979,A. afarensis,AL 444-2,522,3,11.16666667,40.63333333
978,A. africanus,MLD 37/38,430,2.65,-24.15861111,29.17694444
977,A. africanus,MLD 1,510,2.65,-24.15861111,29.17694444
976,A. aethiopicus,KNM-WT 17000,410,2.5,4.125,35.855
975,A. garhi,Bouri,450,2.5,10,40
974,A. boisei,Omo L388y-6,427,2.38,4.80035,35.9671
973,A. africanus,Stw 505,555,2.35,-26.01604,27.73456
972,A. boisei,Omo 323-1976-896,490,2.23,4.80035,35.9671
971,A. africanus,Sts 60,400,2.1,-26.01604,27.73456
970,A. africanus,Sts 71,428,2.1,-26.01604,27.73456
969,A. africanus,Sts 19/58,436,2.1,-26.01604,27.73456
967,A. africanus,Sts 5,485,2.1,-26.01604,27.73456
966,A. robustus,DNH 155,450,2,-25.96888889,27.75583333
965,A. sediba,MH 1,420,1.977,-25.895147,27.801324
964,H. habilis,KNM-ER 1813,509,1.89,3.94777778,36.18722222
963,H. habilis,KNM-ER 1805,582,1.89,3.94777778,36.18722222
962,H. habilis,OH 24,597,1.88,-2.98333,35.35
961,H. rudolfensis,KNM-ER 3732,750,1.88,3.94777778,36.18722222
960,H. rudolfensis,KNM-ER 1470,752,1.88,3.94777778,36.18722222
959,A. boisei,KNM-WT 13750,475,1.87,3.94777778,36.18722222
958,A. boisei,KNM-ER 23000,491,1.87,3.94777778,36.18722222
957,A. boisei,KNM-ER 407,510,1.85,3.94777778,36.18722222
956,H. rudolfensis,KNM-ER 1590,825,1.85,3.94777778,36.18722222
955,A. boisei,OH 5,523,1.82,-2.98333,35.35
954,H. habilis,OH 7,777,1.8,-2.98333,35.35
953,A. boisei,KNM-WT 17400,400,1.77,4.050084,35.781132
952,H. erectus,D5000,546,1.77,41.33222222,44.20444444
951,H. erectus,D2700,600,1.77,41.33222222,44.20444444
950,H. erectus,D3444,650,1.77,41.33222222,44.20444444
949,H. erectus,D2282,655,1.77,41.33222222,44.20444444
948,H. erectus,D2280,775,1.77,41.33222222,44.20444444
947,A. robustus,Drimolen,530,1.75,-25.96888889,27.75583333
946,H. habilis,OH 16,638,1.67,-2.98333,35.35
945,A. robustus,SK 1585,530,1.65,-25.967231,27.66244
944,H. erectus,Gongwang 1,780,1.63,34.183534,109.494149
943,H. erectus,KNM-ER 3733,848,1.63,3.94777778,36.18722222
942,H. erectus,Sangiran 4,908,1.62,-7.45,110.85
941,H. habilis,OH 13,673,1.6,-2.98333,35.35
940,A. boisei,KNM-ER 732,500,1.58,3.94777778,36.18722222
939,A. boisei,KNM-ER 406,500,1.58,3.94777778,36.18722222
938,H. erectus,KNM-ER 3883,804,1.57,3.94777778,36.18722222
936,H. erectus,KNM-ER 42700,691,1.55,3.94777778,36.18722222
935,H. erectus,Sangiran 38,850,1.52,-7.45,110.85
934,H. erectus,KNM-WT 15000,880,1.49,4.125,35.855
933,A. boisei,Konso,545,1.42,5.341666667,37.44166667
932,H. erectus,Sangiran 2,813,1.29,-7.45,110.85
931,H. erectus,Sangiran 10,855,1.29,-7.45,110.85
930,H. erectus,Sangiran 17,1004,1.29,-7.45,110.85
929,H. erectus,Sangiran 12,1059,1.29,-7.45,110.85
927,H. erectus,Grogol-Wetan (Gwn-1993.09),850,1.25,-7.45,110.85
926,H. erectus,Sangiran IX,870,1.25,-7.45,110.85
925,H. erectus,Bukaran (SBK-1996.02),916,1.25,-7.45,110.85
924,H. erectus,OH 9,1067,1.25,-2.98333,35.35
923,H. erectus,Buia,900,1,14.8325465,39.8503486
922,H. erectus,Daka,986,1,10,40
921,H. erectus,Yunxian,1050,0.936,32.83388889,110.5847222
920,H. erectus,Trinil 2,940,0.9,-7.3743,111.3578
919,H. erectus,Sangiran 3,950,0.9,-7.45,110.85
918,H. heidelbergensis,Ceprano,1150,0.85,41.55,13.51666667
917,H. erectus,ZKD III,915,0.73,39.68916667,115.9238889
916,H. erectus,Zhoukodian Z-11,1015,0.73,39.68916667,115.9238889
915,H. erectus,Zhoukodian Z-2,1030,0.73,39.68916667,115.9238889
914,H. erectus,Zhoukodian Z12,1030,0.73,39.68916667,115.9238889
913,H. erectus,Zhoukodian Z10,1225,0.73,39.68916667,115.9238889
912,H. erectus,OH 12,727,0.7,-2.98333,35.35
911,H. erectus,Nanjing,876,0.6,31.95478,118.83492
910,H. heidelbergensis,Bodo,1250,0.6,10.61743823,40.53470724
909,H. erectus,Ngawi,870,0.5,-7.401111111,111.445
908,H. heidelbergensis,Saldanha,1225,0.5,-33.06666667,18.35
907,H. erectus,ZKD V,1140,0.45,39.68916667,115.9238889
906,H. heidelbergensis,Arago,1166,0.45,42.81416667,2.746388889
905,H. heidelbergensis,Atapuerca 5,1092,0.43,42.350092,-3.519466
904,H. heidelbergensis,Atapuerca 7,1144,0.43,42.350092,-3.519466
903,H. heidelbergensis,Atapuerca 10,1218,0.43,42.350092,-3.519466
902,H. heidelbergensis,Atapuerca 17,1219,0.43,42.350092,-3.519466
901,H. heidelbergensis,Atapuerca 12,1228,0.43,42.350092,-3.519466
900,H. heidelbergensis,Atapuerca 16,1236,0.43,42.350092,-3.519466
899,H. heidelbergensis,Atapuerca 15,1284,0.43,42.350092,-3.519466
898,H. heidelbergensis,Atapuerca 2,1334,0.43,42.350092,-3.519466
897,H. heidelbergensis,Atapuerca 4,1360,0.43,42.350092,-3.519466
896,H. heidelbergensis,Atapuerca 13,1437,0.43,42.350092,-3.519466
895,H. erectus,Hexian,1025,0.412,31.68055556,118.2702778
894,H. heidelbergensis,Ndutu,1100,0.4,-3.002012717,34.99709835
893,H. sapiens,Jebel Irhoud 1,1305,0.3,31.85498056,-8.872505556
892,H. heidelbergensis,Swanscombe,1325,0.3,51.4456,0.299111
891,H. sapiens,Jebel Irhoud 2,1400,0.3,31.85498056,-8.872505556
890,H. heidelbergensis,Kabwe,1325,0.299,-14.46,28.435
889,H. naledi,DH3/DH4,465,0.286,-25.9167,27.7833
888,H. naledi,DH1/DH2,560,0.286,-25.9167,27.7833
887,H. naledi,LES 1,610,0.286,-25.9167,27.7833
886,H. heidelbergensis,Jinniushan,1390,0.28,40.578107,122.450425
885,H. heidelbergensis,Guomde,1400,0.272,3.94777778,36.18722222
884,H. neanderthalensis,Apidima 2,1454,0.252,36.666946,22.361747
883,H. neanderthalensis,Saccopastore 1,1174,0.25,41.9424,12.5007
882,H. neanderthalensis,Saccopastore 2,1300,0.25,41.9424,12.5007
881,H. heidelbergensis,Sale,880,0.24,34.05,-6.816667
880,H. heidelbergensis,Narmada,1260,0.236,22.66666667,77.83333333
879,H. heidelbergensis,Ehringsdorf,1450,0.23,50.98111111,11.32944444
878,H. heidelbergensis,Steinheim,1140,0.225,48.9683,9.27611
877,H. heidelbergensis,Eliye Springs (KNM-ER 11693),1212,0.225,3.235769,36.022198
876,H. heidelbergensis,Petralona,1230,0.21,40.369697,23.159151
875,H. heidelbergensis,Dali,1120,0.209,34.79546,109.9402
874,H. neanderthalensis,Reilingen,1430,0.2,49.29472222,8.569166667
873,H. sapiens,Omo 2 (Kibbish),1435,0.195,4.80035,35.9671
872,H. neanderthalensis,Biache,1200,0.175,50.31166667,2.944166667
871,H. neanderthalensis,Fontechevade II,1350,0.16,45.6783,0.478889
870,H. sapiens,Herto,1450,0.16,10,40
869,H. neanderthalensis,La Chaise,1065,0.15,45.671186,0.444509
868,H. longi,Harbin,1420,0.148,45.75,126.6333333
867,H. sapiens,Singa 1,1550,0.133,13.14833333,33.93111111
866,H. neanderthalensis,Krapina 6 (Cranium E),1205,0.13,46.165439,15.86319
865,H. neanderthalensis,Lazaret,1250,0.13,43.69073056,7.294788889
864,H. neanderthalensis,Krapina 3,1255,0.13,46.165439,15.86319
863,H. sapiens,Yinkou,1390,0.13,40.578107,122.450425
862,H. sapiens,Skhul 1,1450,0.13,32.62586389,34.95851944
861,H. neanderthalensis,Krapina 2,1450,0.13,46.165439,15.86319
860,H. sapiens,Skhul 5,1520,0.13,32.62586389,34.95851944
859,H. neanderthalensis,Krapina 5,1535,0.13,46.165439,15.86319
858,H. sapiens,Skhul 4,1554,0.13,32.62586389,34.95851944
857,H. sapiens,Skhul 9,1590,0.13,32.62586389,34.95851944
856,H. sapiens,Laetoli 18,1367,0.12,-2.99622,35.3524
855,H. erectus,Xuchang 1,1800,0.115,34.069056,113.679861
854,H. erectus,Ngandong 7,1028,0.11,-6.8505,112.5753
853,H. erectus,Ngandong 14,1090,0.11,-6.8505,112.5753
852,H. erectus,Ngandong (Solo 9),1135,0.11,-6.8505,112.5753
851,H. erectus,Ngandong 1,1172,0.11,-6.8505,112.5753
850,H. erectus,Ngandong 13,1231,0.11,-6.8505,112.5753
849,H. erectus,Ngandong 6,1251,0.11,-6.8505,112.5753
848,H. neanderthalensis,Tabun 1,1271,0.11,32.6705,34.9655
847,H. sapiens,Qafzeh 11,1280,0.11,32.6885184,35.31799793
846,H. sapiens,Qafzeh 9,1531,0.11,32.6885184,35.31799793
845,H. sapiens,Qafzeh 6,1568,0.11,32.6885184,35.31799793
844,H. neanderthalensis,Ganovce,1320,0.09,49.03194444,20.32361111
843,H. sapiens,Border Cave,1522,0.09,-27.025833,31.988889
842,H. neanderthalensis,Teshik Tash,1525,0.07,37.96596389,67.15651111
841,H. neanderthalensis,La Ferrassie,1640,0.07,44.95180556,0.93805556
840,H. neanderthalensis,Spy 1,1305,0.068,50.48019444,4.6745
839,H. neanderthalensis,Spy 2,1553,0.068,50.48019444,4.6745
838,H. sapiens,Liujiang,1480,0.067,24.26016,109.33158
837,H. neanderthalensis,La Quina 5,1172,0.065,45.5072,0.292778
836,H. neanderthalensis,La Quina 18,1200,0.065,45.5072,0.292778
835,H. floresiensis,LB1,419,0.06,-8.534166667,120.4602778
834,H. neanderthalensis,Engis 2,1362,0.06,50.5922,5.40889
833,H. neanderthalensis,Shanidar 5,1550,0.06,36.8006,44.2433
832,H. neanderthalensis,Shanidar 1,1600,0.06,36.8006,44.2433
831,H. erectus,Sambungmacan 3,917,0.055,-6.8505,112.5753
830,H. erectus,Sambungmacan 4,1006,0.055,-6.8505,112.5753
829,H. erectus,Sambungmacan 1,1035,0.055,-6.8505,112.5753
828,H. sapiens,Manot Cave,1100,0.0547,33.035125,35.193293
827,H. neanderthalensis,Mt. Circeo,1360,0.052,41.23109,13.05553
826,H. neanderthalensis,Gibraltar,1200,0.05,36.146716,-5.346641
825,H. neanderthalensis,Devils Tower,1400,0.05,36.145649,-5.341438
824,H. neanderthalensis,La Chapelle,1625,0.05,44.98194444,1.713333333
823,H. sapiens,Ryonggok 7,1450,0.047,38.86028,126.07083
822,H. sapiens,Ryonggok 3,1650,0.047,38.86028,126.07083
821,H. neanderthalensis,Le Moustier,1565,0.041,44.99389,1.06
820,H. neanderthalensis,Amud,1740,0.041,32.88091944,35.50326389
818,H. sapiens,Liujiang,1567,0.04,24.26016,109.33158
817,H. sapiens,Nazlet Khater 2,1420,0.0376,26.782778,31.373056
816,H. sapiens,Hofmeyr,1580,0.036,-31.6333,25.8
815,H. sapiens,Chatelperron (les Fees),1425,0.033,46.4117,3.63833
814,H. sapiens,Wadjak 1,1464,0.033,-8.096944444,112.7352778
813,H. sapiens,Wadjak 2,1650,0.033,-8.096944444,112.7352778
812,H. sapiens,Mladec 5,1650,0.032,49.7064,17.0167
811,H. sapiens,Jingchuan,1524,0.0315,35.33264,107.36113
810,H. sapiens,Mladec 2,1390,0.0313,49.7064,17.0167
809,H. sapiens,Mladec 1,1540,0.0312,49.7064,17.0167
808,H. sapiens,Ziyang,1210,0.03,30.27837,105.02733
807,H. sapiens,Zhoukoudian (Upper Cave) 3,1290,0.029,39.68916667,115.9238889
806,H. sapiens,Zhoukoudian (Upper Cave) 2,1380,0.029,39.68916667,115.9238889
805,H. sapiens,Zhoukoudian (Upper Cave) 1,1500,0.029,39.68916667,115.9238889
