Name,Name (WikiData),Lat,Lon,Coordinate,Note
Abri Pataud,https://www.wikidata.org/wiki/Q331390,,,,
Adrar des Ifoghas,https://www.wikidata.org/wiki/Q366665,,,,
Afalou Bou Rhummel,,36.64714594,5.378072103,,https://www.researchgate.net/figure/Map-showing-the-location-of-Tamar-Hat_fig1_225169806
Aniene,https://www.wikidata.org/wiki/Q546600,,,,
Apidima Cave,https://www.wikidata.org/wiki/Q15067212,,,,
Aramis,https://www.wikidata.org/wiki/Q2859496,,,,
Arene Candide,https://www.wikidata.org/wiki/Q642002,,,,
Atapuerca,https://www.wikidata.org/wiki/Q923894,,,,
Aveline's Hole,https://www.wikidata.org/wiki/Q790368,,,,
Ba Thuoc,https://www.wikidata.org/wiki/Q4837080,,,,
Baldwin Hills,https://www.wikidata.org/wiki/Q4850560,,,,Angeles Mesa skeletons or Haverty Human Skeletons
Balzi Rossi,https://www.wikidata.org/wiki/Q555143,,,,
Bambandyanalo,https://www.wikidata.org/wiki/Q98085401,,,,
Barma Grande,,43.78405735,7.534711773,,
Baume de Montclus,https://www.wikidata.org/wiki/Q389229,,,,
Biache,https://www.wikidata.org/wiki/Q850668,,,,
Bodo D’ar,,10.61743823,40.53470724,,
Border Cave,https://www.wikidata.org/wiki/Q2910728,,,,
Boskop,https://www.wikidata.org/wiki/Q15203905,,,,
Bouri Formation,https://www.wikidata.org/wiki/Q499030,,,,
Bristol,https://www.wikidata.org/wiki/Q23154,,,,
Brno,https://www.wikidata.org/wiki/Q14960,,,,
Bruniquel ,https://www.wikidata.org/wiki/Q733480,,,,
Buya,,14.8325465,39.8503486,,
Cap Blanc,https://www.wikidata.org/wiki/Q122281,,,,
Cape Flats,https://www.wikidata.org/wiki/Q1034425,,,,
Ceprano,https://www.wikidata.org/wiki/Q116716,,,,
Chancelade,https://www.wikidata.org/wiki/Q957295,,,,
Cioclovina,https://www.wikidata.org/wiki/Q3364567,,,,
Cohuna,https://www.wikidata.org/wiki/Q2025839,,,,
"Columnata, Algeria",https://www.wikidata.org/wiki/Q632916,,,,
Combe Capelle,https://www.wikidata.org/wiki/Q1113596,,,,
Coobool Creek,https://www.wikidata.org/wiki/Q2305836,,,,
Cradle of Humankind,https://www.wikidata.org/wiki/Q1130112,,,,
Cro-Magnon,https://www.wikidata.org/wiki/Q331409,,,,
Culoz,https://www.wikidata.org/wiki/Q243597,,,,
Dali,https://www.wikidata.org/wiki/Q1157915,,,,
Danes Graves,https://www.wikidata.org/wiki/Q5215885,,,,
Devil's Tower,https://www.wikidata.org/wiki/Q327691,,,,
Dmanisi,https://www.wikidata.org/wiki/Q261243,,,,
Dolni Vestonice,https://www.wikidata.org/wiki/Q2915044,,,,
Drimolen,https://www.wikidata.org/wiki/Q1259042,,,,
Duruthy,https://www.wikidata.org/wiki/Q1135731,,,,
Eliye Springs,https://www.wikidata.org/wiki/Q5362070,,,,
Elmenteita,https://www.wikidata.org/wiki/Q517633,,,,
Fish Hoek,https://www.wikidata.org/wiki/Q913974,,,,
Fontechevade,https://www.wikidata.org/wiki/Q768949,,,,
Forbes' Quarry,https://www.wikidata.org/wiki/Q5467217,,,,
Ganovce,https://www.wikidata.org/wiki/Q943716,,,,
"Glastonbury, Somerset ",https://www.wikidata.org/wiki/Q210891,,,,
Gona,,,,12°14′00″N 39°14′00″E,
Gongwangling,https://www.wikidata.org/wiki/Q1537174,,,,
Grotte des Fées,https://www.wikidata.org/wiki/Q3117208,,,,
Grotte des Hoteaux,https://www.wikidata.org/wiki/Q3117210,,,,
Grotte du Bichon,https://www.wikidata.org/wiki/Q29785936,,,,
Grotte du Lazaret,https://www.wikidata.org/wiki/Q1547643,,,,
Hadar,https://www.wikidata.org/wiki/Q1567353,,,,
Harbin,https://www.wikidata.org/wiki/Q42956,,,,
Hofmeyr,https://www.wikidata.org/wiki/Q3643557,,,,
Hopefield,https://www.wikidata.org/wiki/Q993081,,,,
Hotu,https://www.wikidata.org/wiki/Q1282178,,,,
"Hutton, Somerset",https://www.wikidata.org/wiki/Q4613648,,,,
Jebel Irhoud,https://www.wikidata.org/wiki/Q846913,,,,
Jiangning,https://www.wikidata.org/wiki/Q1331311,,,,
Jingchuan,https://www.wikidata.org/wiki/Q1201917,,,,
Jinniushan,https://www.wikidata.org/wiki/Q13473465,,,,
Kabwe,https://www.wikidata.org/wiki/Q117481449,,,,
Keilor,https://www.wikidata.org/wiki/Q6383752,,,,
Konso,https://www.wikidata.org/wiki/Q575352,,,,
Koobi Fora,https://www.wikidata.org/wiki/Q1968136,,,,
Kostyonki,https://www.wikidata.org/wiki/Q4235785,,,,
Krapina,https://www.wikidata.org/wiki/Q12632775,,,,
La Chaise-de-Vouthon,https://www.wikidata.org/wiki/Q3036735,,,,
La Chapelle,https://www.wikidata.org/wiki/Q63073,,,,
La Ferrassie,https://www.wikidata.org/wiki/Q39656,,,,
La Quina,https://www.wikidata.org/wiki/Q1165428,,,,
Laetoli,https://www.wikidata.org/wiki/Q672146,,,,
Lake Ndutu,,-3.002012717,34.99709835,,
Lake Nitchie,,-33.45922621,141.8418861,,
Langwith,https://www.wikidata.org/wiki/Q6486985,,,,
Lansing,https://www.wikidata.org/wiki/Q996441,,,,
Laugerie-Basse,https://www.wikidata.org/wiki/Q1144686,,,,
Le Cheix,https://www.wikidata.org/wiki/Q530505,,,,
Le Cuzoul de Gamat,,44.7510476,1.69063244,,
Le Mas-d'Azil,https://www.wikidata.org/wiki/Q1084645,,,,
Le Moustier,https://www.wikidata.org/wiki/Q602572,,,,
Le Placard Cave,https://www.wikidata.org/wiki/Q659413,,,,
Liang Bua,https://www.wikidata.org/wiki/Q1822737,,,,
Lingjing,,34.069056,113.679861,"34°04′08.6″N, 113°40′47.5″E",
Liujiang,https://www.wikidata.org/wiki/Q912485,,,,
Longtan Cave,https://www.wikidata.org/wiki/Q1204146,,,,龙潭洞遗址
Loulan,https://www.wikidata.org/wiki/Q1057551,,,,
Luderitz,https://www.wikidata.org/wiki/Q159325,,,,
Makapansgat,https://www.wikidata.org/wiki/Q2071706,,,,
Malapa,https://www.wikidata.org/wiki/Q1167179,,,,
Maludong,https://www.wikidata.org/wiki/Q14289795,,,,
Manot Cave,https://www.wikidata.org/wiki/Q18916619,,,,
Mapungubwe,https://www.wikidata.org/wiki/Q98085401,,,,
Mengxihe River site,https://www.wikidata.org/wiki/Q1200041,,,,濛渓河遗址
Minatogawa,https://www.wikidata.org/wiki/Q5119100,,,,
Miro Dora,https://www.wikidata.org/wiki/Q3314275,,,,
Mladec,https://www.wikidata.org/wiki/Q11087651,,,,
Moca,https://www.wikidata.org/wiki/Q592706,,,,
Mollet III,https://www.wikidata.org/wiki/Q20876398,,,,
Mount Circeo,https://www.wikidata.org/wiki/Q2530284,,,,
Mount Suswa,https://www.wikidata.org/wiki/Q3622751,,,,
Murray Valley,https://www.wikidata.org/wiki/Q539925,,,,
Nahal Amud,https://www.wikidata.org/wiki/Q2777661,,,,
Naivasha,https://www.wikidata.org/wiki/Q1365115,,,,
Naiyena Engol,,4.050084,35.781132,,
Nariokotome,https://www.wikidata.org/wiki/Q1418632,,,,
Narmada Valley,https://www.wikidata.org/wiki/Q620801,,,,
Nazlet Khater,https://www.wikidata.org/wiki/Q6983513,,,,
New Year Island,https://www.wikidata.org/wiki/Q2157863,,,,
Ngawi,https://www.wikidata.org/wiki/Q11108,,,,
Oberkassel,https://www.wikidata.org/wiki/Q178317,,,,
Olduvai Gorge,https://www.wikidata.org/wiki/Q217043,,,,
Omo Kibish,https://www.wikidata.org/wiki/Q3882284,,,,
Ortucchio ,https://www.wikidata.org/wiki/Q55226095,,,,
Pavlov,https://www.wikidata.org/wiki/Q667920,,,,
Pecos,https://www.wikidata.org/wiki/Q3925383,,,,
Petralona,https://www.wikidata.org/wiki/Q2302464,,,,
Predmosti,https://www.wikidata.org/wiki/Q1243528,,,,
Punin,,-1.76509232,-78.65568044,,
Qafzeh,https://www.wikidata.org/wiki/Q2121357,,,,
Reilingen,https://www.wikidata.org/wiki/Q81913,,,,
Rising Star Cave,https://www.wikidata.org/wiki/Q16899337,,,,
Roc de Sers,,45.5742058,0.3286117033,,
Rond-du-Barry,https://www.wikidata.org/wiki/Q184359,,,,
Rudabanya,https://www.wikidata.org/wiki/Q1008635,,,,
Ryonggok ,https://www.wikidata.org/wiki/Q705055,,,,
Saint Germain,https://www.wikidata.org/wiki/Q501938,,,,
Sale,https://www.wikidata.org/wiki/Q466046,,,,
San Teodoro,,38.04798646,14.59134958,,
Sangiran,https://www.wikidata.org/wiki/Q842328,,,,
Sauveterre,https://www.wikidata.org/wiki/Q219670,,,,
Schmerling Caves,https://www.wikidata.org/wiki/Q3117248,,,,
Shanidar ,https://www.wikidata.org/wiki/Q909799,,,,
Singa,https://www.wikidata.org/wiki/Q130364,,,,
Skhul,https://www.wikidata.org/wiki/Q287341,,,,
Solo,https://www.wikidata.org/wiki/Q2902049,,,,
Song Terus,https://www.wikidata.org/wiki/Q12504054,,,,
Spitalfields ,https://www.wikidata.org/wiki/Q123219,,,,
Spy,https://www.wikidata.org/wiki/Q2672127,,,,
Steinheim,https://www.wikidata.org/wiki/Q550393,,,,
Sterkfontein,https://www.wikidata.org/wiki/Q1476862,,,,
Sungir,https://www.wikidata.org/wiki/Q1779534,,,,
Swan Hill,https://www.wikidata.org/wiki/Q2305836,,,,
Swanscombe,https://www.wikidata.org/wiki/Q7653649,,,,
Tabun,https://www.wikidata.org/wiki/Q2906739,,,,
Taforalt,https://www.wikidata.org/wiki/Q167862,,,,
Tautavel,https://www.wikidata.org/wiki/Q689491,,,,
Taza,https://www.wikidata.org/wiki/Q2671615,,,,
Teshik-Tash,https://www.wikidata.org/wiki/Q1679526,,,,
Teviec,https://www.wikidata.org/wiki/Q150308,,,,
Texcoco,https://www.wikidata.org/wiki/Q13700,,,,
Toros-Menalla,,16.25,17.5,"16° 15′ 0″ N, 17° 30′ 0″ E",
Trinil,https://www.wikidata.org/wiki/Q1318724,,,,
Tuinplaas,https://www.wikidata.org/wiki/Q133083,,,,
Urtiaga,https://www.wikidata.org/wiki/Q1403826,,,,
Veyrier,https://www.wikidata.org/wiki/Q69587,,,,not foound
Wajak,https://www.wikidata.org/wiki/Q13098341,,,,
Weimar,https://www.wikidata.org/wiki/Q3955,,,,
