hanyu_pinyin,tongyong_pinyin,wade_giles,zhuyin,frequency_per_million,is_rare,neologism,dialectical,dialects,source,note
a,a,a,ㄚ,482.86,FALSE,,,,,
ai,ai,ai,ㄞ,949.28,FALSE,,,,,
an,an,an,ㄢ,2712.89,FALSE,,,,,
ang,ang,ang,ㄤ,23.8,FALSE,,,,,
ao,ao,ao,ㄠ,342.16,FALSE,,,,,
ba,ba,pa,ㄅㄚ,2359.58,FALSE,,,,,
bai,bai,pai,ㄅㄞ,1128.53,FALSE,,,,,
ban,ban,pan,ㄅㄢ,4279.48,FALSE,,,,,
bang,bang,pang,ㄅㄤ,621.24,FALSE,,,,,
bao,bao,pao,ㄅㄠ,4966.98,FALSE,,,,,
bei,bei,pei,ㄅㄟ,4395.94,FALSE,,,,,
ben,ben,pen,ㄅㄣ,3460.86,FALSE,,,,,
beng,beng,peng,ㄅㄥ,42.28,FALSE,,,,,
bi,bi,pi,ㄅㄧ,2816.03,FALSE,,,,,
bian,bian,pien,ㄅㄧㄢ,2338.11,FALSE,,,,,
biang,,,ㄅㄧㄤ,,TRUE,,TRUE,,https://en.wiktionary.org/w/index.php?title=%F0%B0%BB%9E&oldid=88042945#Chinese,
biao,biao,piao,ㄅㄧㄠ,3395.65,FALSE,,,,,
bie,bie,pieh,ㄅㄧㄝ,1120.76,FALSE,,,,,
bin,bin,pin,ㄅㄧㄣ,257.26,FALSE,,,,,
bing,bing,ping,ㄅㄧㄥ,2298.49,FALSE,,,,,
bo,bo,po,ㄅㄛ,1429.46,FALSE,,,,,
bu,bu,pu,ㄅㄨ,7293.31,FALSE,,,,,
ca,ca,tsʽa,ㄘㄚ,27.6,FALSE,,,,,
cai,cai,tsʽai,ㄘㄞ,2739.8,FALSE,,,,,
can,can,tsʽan,ㄘㄢ,1277.01,FALSE,,,,,
cang,cang,tsʽang,ㄘㄤ,185.14,FALSE,,,,,
cao,cao,tsʽao,ㄘㄠ,434.68,FALSE,,,,,
ce,ce,tsʽe,ㄘㄜ,1154.92,FALSE,,,,,
cei,,,,,TRUE,,TRUE,Beijing Mandarin,https://en.wiktionary.org/w/index.php?title=%F0%A4%AD%A2&oldid=85367856#Etymology_2,
cen,cen,tsʽen,ㄘㄣ,7.45,FALSE,,,,https://en.wiktionary.org/w/index.php?title=%E5%B2%91&oldid=87575677#Pronunciation,
ceng,ceng,tsʽeng,ㄘㄥ,311.68,FALSE,,,,,
cha,cha,chʽa,ㄔㄚ,1860.84,FALSE,,,,,
chai,chai,chʽai,ㄔㄞ,123.99,FALSE,,,,,
chan,chan,chʽan,ㄔㄢ,2169.1,FALSE,,,,,
chang,chang,chʽang,ㄔㄤ,4175.61,FALSE,,,,,
chao,chao,chʽao,ㄔㄠ,680.76,FALSE,,,,,
che,che,chʽe,ㄔㄜ,822.93,FALSE,,,,,
chen,chen,chʽen,ㄔㄣ,1030.23,FALSE,,,,,
cheng,cheng,chʽeng,ㄔㄥ,6408.07,FALSE,,,,,
chi,chih,chʽih,ㄔ,1182.59,FALSE,,,,,
chong,chong,chʽung,ㄔㄨㄥ,788.79,FALSE,,,,,
chou,chou,chʽou,ㄔㄡ,289.78,FALSE,,,,,
chu,chu,chʽu,ㄔㄨ,5551.19,FALSE,,,,,
