food_id,id,proxy of edible form,inedible,uncooked,edible,name,note,fooddb note
01001,0001,TRUE,FALSE,TRUE,FALSE,アマランサス　玄穀,加熱調理用です。お米と一緒に炊飯するか、茹でてサラダのトッピングにします。,
01002,0002,TRUE,FALSE,TRUE,FALSE,あわ　精白粒,加熱調理用です。お米に混ぜて炊く（雑穀米にする）のが一般的です。,"うるち、もちを含む
歩留り： 70～80 %"
01003,0003,TRUE,FALSE,TRUE,FALSE,あわ　あわもち,焼くか煮て食べます（市販の切り餅と同様、加熱して柔らかくしてから食べます）。,原材料配合割合： もちあわ50、もち米50
01004,0004,FALSE,FALSE,FALSE,TRUE,えんばく　オートミール,製造過程で蒸してあるためそのまま食べられますが、牛乳でふやかすか、煮て食べるのが一般的です。,別名： オート、オーツ
01005,0005,TRUE,FALSE,TRUE,FALSE,おおむぎ　七分つき押麦,加熱調理用です。お米と一緒に炊いて「麦ご飯」にするか、茹でてスープに入れます。,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
01006,0006,FALSE,FALSE,TRUE,TRUE,おおむぎ　押麦　乾,加熱調理用です。お米と一緒に炊いて「麦ご飯」にして食べます。,"歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
食物繊維：AOAC2011.25法"
01170,0007,FALSE,FALSE,FALSE,TRUE,おおむぎ　押麦　めし,そのまま食べられます（炊き上がったご飯の状態です）。,"乾35 g相当量を含む
食物繊維：AOAC2011.25法"
01007,0008,FALSE,FALSE,TRUE,TRUE,おおむぎ　米粒麦,加熱調理用です。お米のような形に削ってあるので、お米と一緒に炊いて食べます。,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
01008,0009,FALSE,TRUE,TRUE,FALSE,おおむぎ　大麦めん　乾,茹でてから食べます（乾燥麺なので、熱湯で茹でる必要があります）。,原材料配合割合： 大麦粉 50、小麦粉 50
01009,0010,FALSE,FALSE,FALSE,TRUE,おおむぎ　大麦めん　ゆで,そのまま食べられます（茹でてあるので、つゆをかけて食べます）。,原材料配合割合： 大麦粉 50、小麦粉 50
01010,0011,FALSE,FALSE,FALSE,TRUE,おおむぎ　麦こがし,そのまま食べられます（焙煎済みなので、砂糖を混ぜてお湯で練って食べます）。,別名： こうせん、はったい粉
01167,0012,FALSE,FALSE,TRUE,FALSE,キヌア　玄穀,加熱調理用です。お湯で茹でてサラダにするか、お米と一緒に炊いて食べます。,
01011,0013,FALSE,FALSE,TRUE,FALSE,きび　精白粒,加熱調理用です。お米に混ぜて炊く（きびご飯にする）のが一般的です。,"うるち、もちを含む
歩留り： 70～80 %"
01012,0014,FALSE,FALSE,TRUE,FALSE,こむぎ　［玄穀］　国産　普通,加熱調理用です。そのままでは非常に硬く消化できないため、長時間茹でるか製粉します。,食物繊維：AOAC2011.25法
01013,0015,FALSE,FALSE,TRUE,FALSE,こむぎ　［玄穀］　輸入　軟質,加熱調理用です。薄力粉（菓子用）の原料となる麦の粒そのものなので、通常は食べません。,
01014,0016,FALSE,FALSE,TRUE,FALSE,こむぎ　［玄穀］　輸入　硬質,加熱調理用です。強力粉（パン用）の原料となる麦の粒そのものなので、通常は食べません。,
01015,0017,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　薄力粉　1等,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01016,0018,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　薄力粉　2等,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01018,0019,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　中力粉　1等,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01019,0020,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　中力粉　2等,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01020,0021,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　強力粉　1等,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01021,0022,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　強力粉　2等,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01023,0023,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　強力粉　全粒粉,加熱調理用です（生の小麦粉はお腹を壊すことがあるので、必ず火を通します）。,(100 g： 182 mL、100 mL：55 g)
01146,0024,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g 
(100 g： 182 mL、100 mL：55 g)"
01024,0025,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g
(100 g： 182 mL、100 mL：55 g)"
01147,0026,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g　
β-カロテン： 着色料として添加 
(100 g： 182 mL、100 mL：55 g)"
01025,0027,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,,"β-カロテン及びビタミンB2無添加のもの
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g 
(100 g： 182 mL、100 mL：55 g)"
01171,0028,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,,"天ぷら粉39、水61
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g
食物繊維：AOAC2011.25法"
01172,0029,TRUE,TRUE,TRUE,FALSE,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,,"別名： 揚げ玉、天かす
植物油（なたね油）
調理による脂質の増減：第1章表13参照
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g
食物繊維：AOAC2011.25法"
01026,0030,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　角形食パン　食パン,,食物繊維：AOAC2011.25法
01174,0031,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　角形食パン　焼き,,食物繊維：AOAC2011.25法
01175,0032,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　角形食パン　耳を除いたもの,,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
別名：サンドイッチ用食パン
食物繊維：AOAC2011.25法"
01176,0033,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　角形食パン　耳,,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
食物繊維：AOAC2011.25法"
01206,0034,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　食パン　リーンタイプ,,
01207,0035,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　食パン　リッチタイプ,,
01205,0036,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　山形食パン　食パン,,別名：イギリスパン
01028,0037,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　コッペパン,,食物繊維：AOAC2011.25法
01213,0037-1,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　バンズ,,食物繊維：AOAC2011.25法
01030,0038,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　乾パン,,
01031,0039,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　フランスパン,,
01032,0040,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　ライ麦パン,,主原料配合： ライ麦粉 50 %
01208,0041,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　全粒粉パン,,
01033,0042,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　ぶどうパン,,
01034,0043,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　ロールパン,,
01209,0044,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　クロワッサン　レギュラータイプ,,
01035,0045,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　クロワッサン　リッチタイプ,,
01210,0046,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　くるみパン,,
01036,0047,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　イングリッシュマフィン,,
01037,0048,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　ナン,,
01148,0049,FALSE,FALSE,FALSE,TRUE,こむぎ　［パン類］　ベーグル,,
01038,0050,FALSE,TRUE,TRUE,FALSE,こむぎ　［うどん・そうめん類］　うどん　生,,"きしめん、ひもかわを含む
食物繊維：AOAC2011.25法"
01039,0051,FALSE,FALSE,FALSE,TRUE,こむぎ　［うどん・そうめん類］　うどん　ゆで,,"きしめん、ひもかわを含む
食物繊維：AOAC2011.25法"
01186,0052,FALSE,FALSE,FALSE,FALSE,こむぎ　［うどん・そうめん類］　うどん　半生うどん,,食物繊維：AOAC2011.25法
01041,0053,FALSE,TRUE,TRUE,FALSE,こむぎ　［うどん・そうめん類］　干しうどん　乾,,
01042,0054,FALSE,FALSE,FALSE,TRUE,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,,
01043,0055,FALSE,TRUE,TRUE,FALSE,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,,
01044,0056,FALSE,FALSE,FALSE,TRUE,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,,
01045,0057,FALSE,TRUE,TRUE,FALSE,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,,
01046,0058,FALSE,FALSE,FALSE,TRUE,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,,
01047,0059,FALSE,TRUE,TRUE,FALSE,こむぎ　［中華めん類］　中華めん　生,,食物繊維：AOAC2011.25法
01048,0060,FALSE,FALSE,FALSE,TRUE,こむぎ　［中華めん類］　中華めん　ゆで,,食物繊維：AOAC2011.25法
01187,0061,FALSE,FALSE,FALSE,FALSE,こむぎ　［中華めん類］　半生中華めん,,食物繊維：AOAC2011.25法
01049,0062,FALSE,FALSE,FALSE,TRUE,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,,食物繊維：AOAC2011.25法
01188,0063,FALSE,FALSE,FALSE,TRUE,こむぎ　［中華めん類］　蒸し中華めん  ソテー,,食物繊維：AOAC2011.25法
