active,#,id,name,source,nutrient_fact,amount_g,CALORIES,CARBS,FIBER,FAT,PROTEIN,IRON,ZINC,COPPER,PHOSPHORUS,POTASSIUM,CALCIUM,SELENIUM,CHROMIUM,MOLYBDENUM,MAGNESIUM,MANGANESE,IODINE,SODIUM,VITAMIN_A,VITAMIN_B1,VITAMIN_B2,VITAMIN_B3,VITAMIN_B5,VITAMIN_B6,VITAMIN_B7,VITAMIN_B9,VITAMIN_B12,VITAMIN_C,VITAMIN_D,VITAMIN_E,VITAMIN_K,OMEGA_3,OMEGA_6,LINOLEIC_ACID,CHOLINE,LACTOSE,CAFFEINE,ISOFLAVONE,OXALATE,ALCOHOL,OMEGA_3_DHA,OMEGA_3_EPA,OMEGA_3_ALA
,,,,,,,kcal,g,g,g,g,mg,mg,mg,mg,mg,mg,μg,μg,μg,mg,mg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,μg,mg,μg,g,g,mg,mg,g,mg,mg,g,g,mg,mg,mg
TRUE,1,EXTRA_1,DHC ビタミンC,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-2140-%E3%83%8F%E3%83%BC%E3%83%89%E3%82%AB%E3%83%97%E3%82%BB%E3%83%AB-%E5%BE%B3%E7%94%A890%E6%97%A5%E5%88%86/dp/B01FW9LG74/?th=1,【栄養成分表示】[2粒1156mgあたり]熱量4.5kcal、たんぱく質0.13g、脂質0g、炭水化物1.0g、食塩相当量0.001g、ビタミンB2 2.0mg(143)、ビタミンC 1000mg(1000),1.156,4.5,1,,,0.13,,,,,,,,,,,,,,,,2,,,,,,,1000,,,,,,,,,,,,,,,
TRUE,2,EXTRA_2,DHC ビタミンBミックス,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-32169-%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3B%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-%E5%BE%B3%E7%94%A890%E6%97%A5%E5%88%86/dp/B01N47PAGY/?th=1,【栄養成分表示[2粒400mgあたり]】熱量1.6kcal、たんぱく質0.15g、脂質0.01g、炭水化物0.22g、食塩相当量0.0004g、ビタミンB1 40.0mg、ビタミンB2 30.0mg、ビタミンB6 30.0mg、ビタミンB12 20.0g(833)、ナイアシン40mg(308)、パントテン酸40.0mg、ビオチン50g(100)、葉酸200g(83)、イノシトール50mg,0.4,1.6,0.22,,0.01,,,,,,,,,,,,,,,,40,30,40,40,30,50,200,20,,,,,,,,,,,,,,,,
TRUE,3,EXTRA_3,DHC マルチミネラル,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-2151-%E3%83%9E%E3%83%AB%E3%83%81%E3%83%9F%E3%83%8D%E3%83%A9%E3%83%AB-%E5%BE%B3%E7%94%A890%E6%97%A5%E5%88%86/dp/B01MSSWA5K/,【栄養成分表示［3粒1350mgあたり］】熱量1.8kcal、たんぱく質0.04g、脂質0.03g、炭水化物0.33g、食塩相当量0.04g、カルシウム250mg（37）、鉄7.5mg（110）、亜鉛6.0mg（68）、銅0.6mg（67）、マグネシウム125mg（39）、セレン30.2μg、クロム28.3μg、マンガン1.5mg、ヨウ素50.8μg、モリブデン10.5μg ※上記（）内の値は、栄養素等表示基準値（18歳以上、基準熱量2200kcal）に占める割合［%］です。,1.35,1.8,0.33,,0.03,0.04,7.5,6,0.6,,,250,30.2,28.3,10.5,125,1.5,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,4,EXTRA_4,DHC マルチビタミン,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-2144-%E3%83%9E%E3%83%AB%E3%83%81%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3-%E5%BE%B3%E7%94%A890%E6%97%A5%E5%88%86/dp/B00GX1E3R6/,【栄養成分表示［1粒545mgあたり］】熱量2.9kcal、たんぱく質0.16g、脂質0.18g、炭水化物0.16g、食塩相当量0.03g、ビタミンB1 2.2mg（183）、ビタミンB2 2.4mg（171）、ビタミンB6 3.2mg（246）、ビタミンB12 6.0μg（250）、ナイアシン15mg（115）、パントテン酸9.2mg（192）、ビオチン45μg（90）、葉酸200μg（83）、ビタミンC 100mg（100）、ビタミンD 5.0μg（91）、ビタミンE 10.0mg（159）、ビタミンP 20mg、β-カロテン5400μg ※上記（ ）内の値は、栄養素等表示基準値（18歳以上、基準熱量2200kcal）に占める割合［%］です。,0.545,2.9,0.16,,0.18,0.16,,,,,,,,,,,,,,,2.2,2.4,15,0.2,3.2,45,200,6,100,5,10,,,,,,,,,,,,,
TRUE,5,EXTRA_5,DHC ビタミンD,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-%E3%80%90%E3%82%BB%E3%83%83%E3%83%88%E3%80%91%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3D-30%E6%97%A5%E5%88%86-4%E5%80%8B/dp/B08GQJSV72/,【栄養成分表示［1粒150mgあたり］】熱量0.6kcal、たんぱく質0.01g、脂質0g、炭水化物0.14g、食塩相当量0.00003g、ビタミンD 25.0μg,0.15,0.6,0.14,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,
TRUE,6,EXTRA_6,DHC ビタミンA,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-%E5%A4%A9%E7%84%B6%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3A-30%E6%97%A5%E5%88%86/dp/B004BRR5MO/?th=1,天然ビタミンＡ1日1粒総重量330mg(内容量200mg)あたり総カロテノイド 7mg（レチノール当量550μg）、総トコトリエノール 3mg　,0.33,2.2,0.04,,0.19,0.08,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,7,EXTRA_7,DHC ビタミンE,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-32453-%E5%A4%A9%E7%84%B6%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3E-%E5%BE%B3%E7%94%A890%E6%97%A5%E5%88%86/dp/B01NAAVGN0/,【栄養成分表示】［1日あたり：1粒510mg］熱量3.6kcal、たんぱく質0.13g、脂質0.33g、炭水化物0.03g、食塩相当量0.001g、ビタミンE 301.5mg,0.51,3.6,0.03,,0.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,301.5,,,,,,,,,,,,,
TRUE,8,EXTRA_8,DHC ビタミンK,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3K-30%E6%97%A5%E5%88%86/dp/B004BRR66Y/,【栄養成分表示[2粒810mgあたり]】熱量4.8kcal、たんぱく質0.28g、脂質0.36g、炭水化物0.12g、食塩相当量0.008g、ビタミンC 30mg、ビタミンD 2.5μg、ビタミンK 67.4μg、CPP(カゼインホスホペプチド)40mg,0.81,4.8,0.12,,0.36,0.28,,,,,,,,,,,,,,,,,,,,,,,30,2.5,,67.4,,,,,,,,,,,,
TRUE,9,EXTRA_9,DHC 亜鉛,https://www.amazon.co.jp/90%E6%97%A5%E5%88%86%E3%82%BB%E3%83%83%E3%83%88-DHC-%E4%BA%9C%E9%89%9B-30%E6%97%A5%E5%88%86-3%E5%80%8B/dp/B092Q7R1ZR/?th=1,【栄養成分表示［1粒249mgあたり］】熱量0.9kcal、たんぱく質0.08g、脂質0.01g、炭水化物0.12g、食塩相当量0.001g、亜鉛15.0mg（170）クロム60μg、セレン50μg,0.249,0.9,0.12,,0.01,0.08,,15,,,,,50,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,10,EXTRA_10,DHC カルシウム・マグネシウム,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-32323-%E3%82%AB%E3%83%AB%E3%82%B7%E3%82%A6%E3%83%A0-%E5%BE%B3%E7%94%A890%E6%97%A5%E5%88%86/dp/B06XW1TNBX/,【栄養成分表示［3粒2043mgあたり］】熱量1.9kcal、たんぱく質0.22g、脂質0.03g、炭水化物0.19g、食塩相当量0.002g、ビタミンD2.2μg（40）、カルシウム360mg（53）、マグネシウム206mg（64）、CPP（カゼインホスホペプチド）9.7mg,2.043,1.9,0.19,,0.03,0.22,,,,,,360,,,,206,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,
TRUE,11,EXTRA_11,大塚製薬 ネイチャーメイド スーパーフィッシュオイル(EPA/DHA),https://www.amazon.co.jp/%E5%A4%A7%E5%A1%9A%E8%A3%BD%E8%96%AC-%E3%83%8D%E3%82%A4%E3%83%81%E3%83%A3%E3%83%BC%E3%83%A1%E3%82%A4%E3%83%89-%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%95%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%82%AA%E3%82%A4%E3%83%AB-EPA-%E6%A9%9F%E8%83%BD%E6%80%A7%E8%A1%A8%E7%A4%BA%E9%A3%9F%E5%93%81/dp/B00516RUX8/,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,190,
TRUE,12,EXTRA_12,DHC DHA,https://www.amazon.co.jp/DHC-%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%A4%E3%83%81%E3%83%BB%E3%82%B7%E3%83%BC-32674-30%E6%97%A5%E5%88%86-%E6%A9%9F%E8%83%BD%E6%80%A7%E8%A1%A8%E7%A4%BA%E9%A3%9F%E5%93%81/dp/B079YRLNQP/,【栄養成分表示［4粒2020mgあたり］】熱量14.7kcal、たんぱく質0.48g、脂質1.37g、炭水化物0.11g、食塩相当量0.005g、ビタミンE60.0mg【機能性関与成分】DHA510mg、EPA110mg,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,510,110,
TRUE,13,EXTRA_13,ビタミンＣ,https://www.amazon.co.jp/%E3%83%93%E3%82%BF%E3%83%9F%E3%83%B3%EF%BC%A3-950%EF%BD%87-%EF%BC%88L-%E3%82%A2%E3%82%B9%E3%82%B3%E3%83%AB%E3%83%93%E3%83%B3%E9%85%B8%EF%BC%89%E9%A3%9F%E5%93%81%E6%B7%BB%E5%8A%A0%E7%89%A9%E8%A6%8F%E6%A0%BC-NICHIGA-%E3%83%8B%E3%83%81%E3%82%AC/dp/B01CFRTV1O/,"栄養成分表示：（製品100gあたり） エネルギー400kcal たんぱく質0g 脂質0g 炭水化物100g 食塩相当量0g ビタミンC100,000mg",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,
