category,food_id,id,name,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
01,01001,0001,アマランサス　玄穀,13.5,1.1,6.3,7.4,-,-,-,-,-,
01,01002,0002,あわ　精白粒,13.3,0.4,2.9,3.3,-,-,-,-,-,
01,01003,0003,あわ　あわもち,48.0,0,1.5,1.5,-,-,-,-,-,
01,01004,0004,えんばく　オートミール,10.0,3.2,6.2,9.4,-,-,-,-,-,
01,01005,0005,おおむぎ　七分つき押麦,14.0,6.3,4.0,10.3,-,-,-,-,-,
01,01006,0006,おおむぎ　押麦　乾,12.7,4.3,3.6,7.9,2.4,4.3,5.5,0.4,12.2,
01,01170,0007,おおむぎ　押麦　めし,68.6,-,-,-,0.6,1.5,2.1,0.5,4.2,
01,01007,0008,おおむぎ　米粒麦,14.0,6.0,2.7,8.7,-,-,-,-,-,
01,01008,0009,おおむぎ　大麦めん　乾,14.0,3.6,2.7,6.3,-,-,-,-,-,
01,01009,0010,おおむぎ　大麦めん　ゆで,70.0,1.2,1.3,2.5,-,-,-,-,-,
01,01010,0011,おおむぎ　麦こがし,3.5,5.2,10.3,15.5,-,-,-,-,-,
01,01167,0012,キヌア　玄穀,12.2,1.5,4.7,6.2,-,-,-,-,-,
01,01011,0013,きび　精白粒,13.8,Tr,1.6,1.6,-,-,-,-,-,
01,01012,0014,こむぎ　［玄穀］　国産　普通,12.5,0.5,10.0,10.5,3.3,1.8,8.9,0.4,14.0,
01,01013,0015,こむぎ　［玄穀］　輸入　軟質,10.0,1.4,9.8,11.2,-,-,-,-,-,
01,01014,0016,こむぎ　［玄穀］　輸入　硬質,13.0,1.5,9.9,11.4,-,-,-,-,-,
01,01015,0017,こむぎ　［小麦粉］　薄力粉　1等,14.0,1.2,1.3,2.5,-,-,-,-,-,
01,01016,0018,こむぎ　［小麦粉］　薄力粉　2等,14.0,1.1,1.5,2.6,-,-,-,-,-,
01,01018,0019,こむぎ　［小麦粉］　中力粉　1等,14.0,1.2,1.6,2.8,-,-,-,-,-,
