category,food_id,id,name,WATER,FORAC,ACEAC,GLYCLAC,LACAC,GLUCAC,OXALAC,MOLAC,SUCAC,FUMAC,MALAC,TARAC,GLUAKAC,CITAC,SALAC,PCHOUAC,CAFFAC,FERAC,CHLRAC,QUINAC,OROTAC,PYROGAC,PROPAC,OA,
01,01024,0025,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,11.1,-,-,-,-,-,-,-,-,-,-,-,-,(Tr),-,-,-,-,-,-,-,-,-,(Tr),原材料配合割合から推計
01,01028,0037,こむぎ　［パン類］　コッペパン,37.0,-,-,-,-,-,-,-,-,-,-,-,-,(Tr),-,-,-,-,-,-,-,-,-,(Tr),原材料配合割合から推計
01,01030,0038,こむぎ　［パン類］　乾パン,5.5,-,-,-,-,-,-,-,-,-,-,-,-,(Tr),-,-,-,-,-,-,-,-,-,(Tr),原材料配合割合から推計
02,02068,0206,＜いも類＞　アメリカほどいも　塊根　生,56.5,-,-,0,-,-,0.1,-,0,-,0,-,-,0.3,-,-,-,-,-,-,-,-,-,0.4,
02,02069,0207,＜いも類＞　アメリカほどいも　塊根　ゆで,57.1,-,-,-,-,-,0.1,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,0.4,
02,02001,0208,＜いも類＞　きくいも　塊茎　生,81.7,-,-,-,-,-,-,-,-,-,(0.5),-,-,(0.1),-,-,-,-,-,-,-,-,-,(0.5),豪州成分表から推計
02,02041,0209,＜いも類＞　きくいも　塊茎　水煮,85.4,-,-,-,-,-,-,-,-,-,(0.3),-,-,(0.1),-,-,-,-,-,-,-,-,-,(0.4),豪州成分表から推計
02,02045,0217,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,64.6,-,-,-,-,-,0.1,-,0,-,0.2,-,-,Tr,-,-,-,-,-,0.1,-,-,-,0.4,
02,02046,0218,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,64.2,-,-,-,-,-,0.1,-,0,-,0.2,-,-,Tr,-,-,-,-,-,0.1,-,-,-,0.5,
02,02047,0219,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,52.4,-,-,-,-,-,0.1,-,0,-,0.2,-,-,Tr,-,-,-,-,-,0.1,-,-,-,0.5,
02,02006,0220,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,65.6,-,-,-,-,-,0.1,-,0,-,0.2,-,-,Tr,-,-,-,-,-,0.1,-,-,-,0.4,
02,02008,0222,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,58.1,-,-,-,-,-,0.1,-,0,-,0.2,-,-,0.1,-,-,-,-,-,0.1,-,-,-,0.4,
02,02009,0223,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,22.2,-,-,-,-,-,0.1,-,0,-,0.3,-,-,0.1,-,-,-,-,-,0.2,-,-,-,0.7,
02,02048,0224,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,66.0,-,-,-,-,-,0.1,-,0,-,0.2,-,-,Tr,-,-,-,-,-,0.1,-,-,-,0.4,
02,02049,0225,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,66.2,-,-,-,-,-,0.1,-,0,-,0.2,-,-,0.1,-,-,-,-,-,0.2,-,-,-,0.5,
02,02010,0226,＜いも類＞　（さといも類）　さといも　球茎　生,84.1,-,-,-,-,-,0.1,-,-,-,0.5,-,-,Tr,-,-,-,-,-,-,-,-,-,0.6,
02,02012,0228,＜いも類＞　（さといも類）　さといも　球茎　冷凍,80.9,-,-,-,-,-,Tr,-,0,-,0.2,-,-,0.2,-,-,-,-,-,0,-,-,-,0.4,
02,02050,0229,＜いも類＞　（さといも類）　セレベス　球茎　生,76.4,-,-,-,-,-,0.1,-,-,-,0.3,-,-,0.4,-,-,-,-,-,-,-,-,-,0.8,
02,02051,0230,＜いも類＞　（さといも類）　セレベス　球茎　水煮,77.5,-,-,0,-,-,0.1,-,-,-,0.2,-,-,0.3,-,-,-,-,-,-,-,-,-,0.6,
02,02052,0231,＜いも類＞　（さといも類）　たけのこいも　球茎　生,73.4,-,-,0,-,-,0.1,-,-,-,0.3,-,-,0.2,-,-,-,-,-,-,-,-,-,0.6,
02,02053,0232,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,75.4,-,-,0,-,-,0.1,-,-,-,0.2,-,-,0.2,-,-,-,-,-,-,-,-,-,0.5,
02,02013,0233,＜いも類＞　（さといも類）　みずいも　球茎　生,70.5,-,-,-,-,-,0.1,-,0,-,0.2,-,-,0.1,-,-,-,-,-,-,-,-,-,0.5,
02,02014,0234,＜いも類＞　（さといも類）　みずいも　球茎　水煮,72.0,-,-,-,-,-,0.1,-,0,-,0.2,-,-,0.1,-,-,-,-,-,-,-,-,-,0.4,
02,02063,0237,＜いも類＞　じゃがいも　塊茎　皮つき　生,81.1,-,-,-,-,-,Tr,-,0,-,0.1,-,-,0.3,-,-,-,-,-,0,-,-,-,0.5,
02,02064,0238,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,77.6,-,-,-,-,-,Tr,-,0,-,0.1,-,-,0.4,-,-,-,-,-,0,-,-,-,0.5,
02,02065,0239,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,65.2,-,-,-,-,-,Tr,-,0,-,0.2,-,-,0.4,-,-,-,-,-,Tr,-,-,-,0.7,
