active,food,food id,cooked/raw ratio,shelf stable,shelf stable after opening,frozen,canned,plastic bag,package,unit,price,price confirmed,price/g,source,note on package,note
FALSE,あきたこまち玄米,0127,2.2,TRUE,TRUE,FALSE,,,5000,g,"¥2,713",TRUE,¥0.5,https://www.amazon.co.jp/%E7%8E%84%E7%B1%B3-%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%94%A3-%E3%81%82%E3%81%8D%E3%81%9F%E3%81%93%E3%81%BE%E3%81%A1-5kg-%E5%B9%B3%E6%88%9030%E5%B9%B4%E7%94%A3/dp/B01A6JNI3K/?th=1,,
TRUE,はえぬき玄米,0127,2.2,TRUE,TRUE,FALSE,,,10000,g,"¥8,980",TRUE,¥0.9,https://www.amazon.co.jp/%E5%B1%B1%E5%BD%A2%E7%9C%8C%E7%94%A3-%E7%8E%84%E7%B1%B3-%E3%81%AF%E3%81%88%E3%81%AC%E3%81%8D-10kg-%E5%B9%B3%E6%88%9030%E5%B9%B4%E7%94%A3/dp/B0095FCY1E/?th=1,,
TRUE,ななつぼし玄米,0127,2.2,TRUE,TRUE,FALSE,,,5000,g,"¥4,910",TRUE,¥1.0,https://www.amazon.co.jp/Amazon%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89-Happy-Belly-%E8%BE%B2%E8%96%AC%E7%AF%80%E6%B8%9B%E7%B1%B3-%E5%B9%B3%E6%88%9030%E5%B9%B4%E7%94%A3/dp/B077PQKMYQ/?th=1,,
TRUE,パールライスあきたこまち玄米,0127,2.2,TRUE,TRUE,FALSE,,,5000,g,"¥5,621",TRUE,¥1.1,,,
TRUE,white rice,0131,2.2,TRUE,TRUE,FALSE,,,5000,g,"¥3,400",TRUE,¥0.7,,,
TRUE,white rice,0131,2.2,TRUE,TRUE,FALSE,,,2000,g,"¥1,700",TRUE,¥0.9,,,
TRUE,黒米,0136,2.2,TRUE,TRUE,FALSE,,,1000,g,"¥1,165",TRUE,¥1.2,https://www.amazon.co.jp/a/dp/B01L1BHOYG/,,
TRUE,赤米,0135,2.2,TRUE,TRUE,FALSE,,,500,g,¥754,TRUE,¥1.5,https://www.amazon.co.jp/%E6%84%9B%E6%99%83-%E8%B5%A4%E7%B1%B3-%E5%9B%BD%E5%86%85%E7%94%A3-500g/dp/B0DGKVHYK1/,,
TRUE,米粉,0165,,TRUE,TRUE,FALSE,,,2500,g,"¥2,997",TRUE,¥1.2,https://www.amazon.co.jp/dp/B09X6PNCF2/?th=1,,
TRUE,米粉,0165,,TRUE,TRUE,FALSE,,,1000,g,¥486,TRUE,¥0.5,https://www.amazon.co.jp/%E6%B3%A2%E9%87%8C-%E3%81%8A%E7%B1%B3%E3%81%AE%E7%B2%89-%E8%96%84%E5%8A%9B%E7%B2%89-1kg/dp/B00855VQE6/?th=1,,
TRUE,玄米粉,0164,,TRUE,TRUE,FALSE,,,500,g,"¥1,080",TRUE,¥2.2,https://www.amazon.co.jp/%E3%83%9E%E3%82%A4%E3%82%BB%E3%83%B3-%E7%8E%84%E7%B1%B3%E7%B2%89-500g/dp/B019F5R1SO/,,
TRUE,ひえ,0201,,TRUE,TRUE,FALSE,,,1000,g,"¥2,798",TRUE,¥2.8,https://www.amazon.co.jp/%E5%9B%BD%E7%94%A3-%E5%B2%A9%E6%89%8B%E7%9C%8C-%E3%81%B2%E3%81%88-1kg-%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E4%BB%98/dp/B00J0O2GK4/,,
TRUE,もちきび,0013,,TRUE,TRUE,FALSE,,,1000,g,"¥1,380",TRUE,¥1.4,https://www.amazon.co.jp/%E3%82%A2%E3%83%A1%E6%A8%AA%E5%A4%A7%E6%B4%A5%E5%B1%8B-%E3%82%82%E3%81%A1%E3%81%8D%E3%81%B3-proso-millet-%E5%90%89%E5%82%99%E5%9B%A3%E5%AD%90/dp/B017GKDCSS/,,
TRUE,たかきび,0202,,TRUE,TRUE,FALSE,,,150,g,¥837,TRUE,¥5.6,https://www.amazon.co.jp/%E8%B1%86%E3%83%BB%E9%9B%91%E7%A9%80%E3%81%AE%E5%B0%82%E9%96%80%E5%BA%97-%E3%81%99%E3%81%9A%E3%82%84-%E5%B2%A9%E6%89%8B%E7%9C%8C-%E3%81%9F%E3%81%8B%E3%81%8D%E3%81%B3-150g/dp/B001GY1KSK?th=1,,
TRUE,小麦粉,0017,,TRUE,TRUE,FALSE,,,1000,g,¥336,TRUE,¥0.3,,,
TRUE,薄力粉,0017,,TRUE,TRUE,FALSE,,,1000,g,¥268,TRUE,¥0.3,https://www.amazon.co.jp/%E6%97%A5%E6%B8%85%E8%A3%BD%E7%B2%89%E3%82%A6%E3%82%A7%E3%83%AB%E3%83%8A-356400-%E6%97%A5%E6%B8%85-%E9%81%94%E4%BA%BA%E5%8E%A8%E6%88%BF%E8%96%84%E5%8A%9B%E5%B0%8F%E9%BA%A6%E7%B2%89-1kg/dp/B0CV4RNQDS/,,
TRUE,強力粉,0021,,TRUE,TRUE,FALSE,,,1000,g,¥289,TRUE,¥0.3,https://www.amazon.co.jp/%E6%97%A5%E6%B8%85%E8%A3%BD%E7%B2%89%E3%82%A6%E3%82%A7%E3%83%AB%E3%83%8A-356410-%E6%97%A5%E6%B8%85-%E9%81%94%E4%BA%BA%E5%8E%A8%E6%88%BF%E5%BC%B7%E5%8A%9B%E5%B0%8F%E9%BA%A6%E7%B2%89-1kg/dp/B0CV4SP88F/,,
TRUE,強力粉 全粒粉,0023,,TRUE,TRUE,FALSE,,,2000,g,"¥1,300",TRUE,¥0.7,https://www.amazon.co.jp/by-Amazon-%E5%85%A8%E7%B2%92%E7%B2%892kg/dp/B07Q23ZRP2/?th=1,,
TRUE,大麦麺 ゆで,0010,2.6,TRUE,TRUE,FALSE,,,4000,g,"¥4,619",TRUE,¥1.2,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E7%B2%BE%E9%BA%A6-%E5%A4%A7%E9%BA%A6%E3%82%81%E3%82%93-200g%C3%9720%E5%80%8B/dp/B001HZ53MM/,,
