id,name,reason,note,
0159,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,rare,,
0178,こめ　［その他］　米ぬか,rare,,"wait, do it here
https://docs.google.com/spreadsheets/d/13tB8l2UxPlZJuaqDap2fAdq1Xj2i7XoMgXOcPXtKEVY/edit?gid=1115016600#gid=1115016600"
0291,（でん粉糖類）　還元麦芽糖,rare,,
0382,だいず　［納豆類］　五斗納豆,rare,,
0436,しい　生,rare,,
0955,きはだ　実　乾,rare,,
1103,あまのり　ほしのり,rare,,
1107,いわのり　素干し,rare,,
1149,わかめ　乾燥わかめ　板わかめ,rare,,
1224,＜魚類＞　（いわし類）　たたみいわし,rare,,
1286,＜魚類＞　キャビア　塩蔵品,rare,,
1316,＜魚類＞　（さけ・ます類）　しろさけ　めふん,rare,,
1361,＜魚類＞　（さめ類）　ふかひれ,rare,,
1451,＜魚類＞　ぼら　からすみ,rare,,
1484,＜魚類＞　やつめうなぎ　干しやつめ,rare,,
1571,＜いか・たこ類＞　（いか類）　ほたるいか　くん製,rare,,
1869,＜鳥肉類＞　がちょう　フォアグラ　ゆで,rare,,
2016,（植物油脂類）　パーム核油,rare,,
